TierType,TierName,Label,Start,Mid,End,Duration
IntervalTier,words,yoyo,503205,503708,504212,1007
IntervalTier,words,,504212,507671,511130,6918
IntervalTier,words,Orange,511130,511512,511895,765
IntervalTier,words,,511895,514328,516762,4867
IntervalTier,words,Sunday,516762,517247,517733,971
IntervalTier,words,,517733,518833,519933,2200
IntervalTier,words,yoyo,519933,520380,520828,895
IntervalTier,words,,520828,522838,524848,4020
IntervalTier,words,office,524848,525202,525557,709
IntervalTier,words,,525557,527664,529771,4214
IntervalTier,words,Everything,529771,530242,530713,942
IntervalTier,words,,530713,532158,533603,2890
IntervalTier,words,Good,533603,533836,534070,467
IntervalTier,words,,534070,535790,537510,3440
IntervalTier,words,Diet,537510,537836,538162,652
IntervalTier,words,,538162,539728,541295,3133
IntervalTier,words,Tomorrow,541295,541789,542284,989
IntervalTier,words,,542284,543552,544820,2536
IntervalTier,words,Wednesday,544820,545323,545827,1007
IntervalTier,words,,545827,547018,548210,2383
IntervalTier,words,Yesterday,548210,548751,549292,1082
IntervalTier,words,,549292,551175,553059,3767
IntervalTier,words,yoyo,553059,553572,554085,1026
IntervalTier,words,,554085,556608,559131,5046
IntervalTier,words,okay,559131,559569,560008,877
IntervalTier,words,,560008,560567,561127,1119
IntervalTier,words,yoyo,561127,561822,562518,1391
IntervalTier,words,,562518,563180,563842,1324
IntervalTier,words,,563842,564644,565446,1604
IntervalTier,words,,565446,567152,568859,3413
IntervalTier,words,orange,568859,569306,569754,895
IntervalTier,words,,569754,570856,571958,2204
IntervalTier,words,elephant,571958,572424,572891,933
IntervalTier,words,,572891,575657,578423,5532
IntervalTier,words,Tuesday,578423,578954,579486,1063
IntervalTier,words,,579486,581798,584111,4625
IntervalTier,words,yesterday,584111,584647,585183,1072
IntervalTier,words,,585183,585919,586656,1473
IntervalTier,words,yes,586656,586926,587197,541
IntervalTier,words,,587197,588406,589616,2419
IntervalTier,words,slow,589616,590035,590455,839
IntervalTier,words,,590455,594077,597699,7244
IntervalTier,words,obvious,597699,598212,598725,1026
IntervalTier,words,,598725,601689,604653,5928
IntervalTier,words,Sunday,604653,605334,606015,1362
IntervalTier,words,,606015,607413,608812,2797
IntervalTier,words,eating,608812,609157,609502,690
IntervalTier,words,,609502,613676,617851,8349
IntervalTier,words,,617851,617972,618094,243
IntervalTier,words,,618094,619567,621040,2946
IntervalTier,words,Great,621040,621376,621712,672
IntervalTier,words,,621712,622137,622562,850
IntervalTier,words,,622562,622693,622824,262
IntervalTier,words,,622824,625304,627784,4960
IntervalTier,words,Table,627784,628213,628642,858
IntervalTier,words,,628642,631219,633797,5155
IntervalTier,words,Eat,633797,634133,634469,672
IntervalTier,words,,634469,635392,636315,1846
IntervalTier,words,Tick,636315,636539,636763,448
IntervalTier,words,,636763,638068,639373,2610
IntervalTier,words,kid,639373,639634,639896,523
IntervalTier,words,,639896,641276,642657,2761
IntervalTier,words,dog,642657,642927,643198,541
IntervalTier,words,,643198,644138,645078,1880
IntervalTier,words,got,645078,645292,645507,429
IntervalTier,words,,645507,647362,649218,3711
IntervalTier,words,to,649218,649488,649759,541
IntervalTier,words,,649759,650766,651773,2014
IntervalTier,words,orange,651773,652081,652389,616
IntervalTier,words,,652389,654269,656149,3760
IntervalTier,words,Eat,656149,656308,656467,318
IntervalTier,words,,656467,659474,662482,6015
IntervalTier,words,To,662482,662846,663210,728
IntervalTier,words,,663210,665475,667741,4531
IntervalTier,words,Opposite,667741,668272,668804,1063
IntervalTier,words,,668804,669540,670277,1473
IntervalTier,words,Eating,670277,670613,670949,672
IntervalTier,words,,670949,672534,674119,3170
IntervalTier,words,Good,674119,674343,674567,448
IntervalTier,words,,674567,677302,680037,5470
IntervalTier,words,dog,680037,680289,680541,504
IntervalTier,words,,680541,681426,682312,1771
IntervalTier,words,great,682312,682554,682797,485
IntervalTier,words,,682797,684356,685916,3119
IntervalTier,words,taking,685916,686354,686792,876
IntervalTier,words,,686792,689997,693202,6410
IntervalTier,words,good,693202,693491,693780,578
IntervalTier,words,,693780,694536,695293,1513
IntervalTier,words,dog,695293,695573,695853,560
IntervalTier,words,,695853,698954,702056,6203
IntervalTier,words,going,702056,702438,702821,765
IntervalTier,words,,702821,703688,704555,1734
IntervalTier,words,great,704555,704779,705003,448
IntervalTier,words,,705003,707318,709633,4630
IntervalTier,words,together,709633,710108,710584,951
IntervalTier,words,,710584,713660,716736,6152
IntervalTier,words,reading,716736,717230,717724,988
IntervalTier,words,,717724,718973,720223,2499
IntervalTier,words,great,720223,720549,720876,653
IntervalTier,words,,720876,722246,723616,2740
IntervalTier,words,together,723616,724119,724623,1007
IntervalTier,words,,724623,726305,727988,3365
IntervalTier,words,running,727988,728426,728865,877
IntervalTier,words,,728865,731019,733173,4308
IntervalTier,words,good,733173,733443,733714,541
IntervalTier,words,,733714,735467,737220,3506
IntervalTier,words,dog,737220,737471,737723,503
IntervalTier,words,,737723,739344,740965,3242
IntervalTier,words,gathering,740965,741450,741935,970
IntervalTier,words,,741935,743193,744452,2517
IntervalTier,words,great,744452,744722,744993,541
IntervalTier,words,,744993,747100,749207,4214
IntervalTier,words,taking,749207,749701,750195,988
IntervalTier,words,,750195,751220,752246,2051
IntervalTier,words,good,752246,752498,752750,504
IntervalTier,words,,752750,754308,755867,3117
IntervalTier,words,dog,755867,756146,756426,559
IntervalTier,words,,756426,759214,762002,5576
IntervalTier,words,good,762002,762524,763046,1044
IntervalTier,words,,763046,764245,765445,2399
IntervalTier,words,diet,765445,765781,766117,672
IntervalTier,words,,766117,767523,768929,2812
IntervalTier,words,tomorrow,768929,769443,769958,1029
IntervalTier,words,,769958,771262,772566,2608
IntervalTier,words,when,772566,772939,773312,746
IntervalTier,words,,773312,776151,778990,5678
IntervalTier,words,never,778990,779530,780071,1081
IntervalTier,words,,780071,782684,785297,5226
IntervalTier,words,Running,785297,785744,786192,895
IntervalTier,words,,786192,787945,789698,3506
IntervalTier,words,ghost,789698,790034,790370,672
IntervalTier,words,,790370,792495,794621,4251
IntervalTier,words,spider,794621,795003,795385,764
